week,location,average_prize
08/07/2023,kolkata-235.48(284)Guwahati-215.75(210.28)215.75(210.28)Siliguri-Jalpaiguri-NS(NS)mjunction167.51(188.64)Cochin132.53(143.79)Coonoor93.53(77.56)Coimbatore-105.79(95.53),84.79(68.81)
01/07/2023,kolkata-237.77(291.61)Guwahati-214.07(214.97)214.07(214.97)Siliguri-Jalpaiguri-NS(NS)mjunction152.62(163.33)Cochin135.64(138.79)Coonoor95.69(77.6)Coimbatore-106.82(95.92),87.19(68.49)
24/06/2023,kolkata-235.24(288.1)Guwahati-213.43(215.25)213.43(215.25)Siliguri-Jalpaiguri-NS(NS)mjunction188.74(298.67)Cochin133.51(136.83)Coonoor98.00(93.14)Coimbatore-106.54(95.94),91.00(72.34)
17/06/2023,kolkata-236.57(280.56)Guwahati-217.3(216.46)217.3(216.46)Siliguri-Jalpaiguri-NS(NS)mjunction142.35(185.91)Cochin134.23(131.01)Coonoor97.45(78.25)Coimbatore-106.67(99.32),89.22(74.12)
10/06/2023,kolkata-227(237.97)Guwahati-215.7(201.06)215.7(201.06)Siliguri-Jalpaiguri-NS(NS)mjunction162.86(192.2)Cochin136.87(130.8)Coonoor97.37(82.10)Coimbatore-107.61(97.05),90.01(74.56)
03/06/2023,kolkata-210.22(215.66)Guwahati-206.43(184.72)206.43(184.72)Siliguri-Jalpaiguri-NS(NS)mjunction152.34(232.37)Cochin137.33(133.84)Coonoor94.72(86.67)Coimbatore-106.05(97.84),90.31(74.54)
27/05/2023,kolkata-200.46(209.88)Guwahati-193.03(176.69)193.03(176.69)Siliguri-Jalpaiguri-NS(NS)mjunction172.86(152.05)Cochin138.44(134.47)Coonoor96.8(87.35)Coimbatore-110.5(97.29),93.04(74.77)
20/05/2023,kolkata-196.92(219.48)Guwahati-183.68(179.25)183.68(179.25)Siliguri-Jalpaiguri-NS(NS)mjunction164.4(153)Cochin140.96(136.27)Coonoor101.52(87.56)Coimbatore-111.44(102.04),95.97(78.46)
13/05/2023,kolkata-207.04(218.6)Guwahati-191.25(184.92)191.25(184.92)Siliguri-Jalpaiguri-NS(NS)mjunction158.89(172.29)Cochin144.98(137.00)Coonoor104.92(89.01)Coimbatore-116.9(101.64),104.58(81.16)
06/05/2023,kolkata-209.78(238.97)Guwahati-193.83(196.65)193.83(196.65)Siliguri-Jalpaiguri-NS(NS)mjunction160.77(159.74)Cochin147.28(139.57)Coonoor109.27(90.76)Coimbatore-118.68(101.87),107.99(79.72)
29/04/2023,kolkata-220.28(258.2)Guwahati-201.53(216.99)201.53(216.99)Siliguri-Jalpaiguri-NS(NS)mjunction201.24(198.7)Cochin145.85(138.47)Coonoor110.81(92.48)Coimbatore-121.44(102.35),106.45(80.26)
22/04/2023,kolkata-223.66(261.00)Guwahati-214.50(252.32)214.50(252.32)Siliguri-Jalpaiguri-NS(NS)mjunction162.07(186.66)Cochin143.82(139.27)Coonoor112.22(92.52)Coimbatore-123.82(103.46),104.91(79.29)
15/04/2023,kolkata-209.95(235.68)Guwahati-223.66(277.12)223.66(277.12)Siliguri-Jalpaiguri-NS(NS)mjunction226.70(199.62)Cochin142.94(NS)Coonoor110.24(92.95)Coimbatore-124.42(97.74),105.15(80.37)
08/04/2023,kolkata-212.25(213.17)Guwahati-216.60(250.50)216.60(250.50)Siliguri-Jalpaiguri-NS(NS)mjunction193.93(NS)CochinNS(135.35)Coonoor110.37(92.20)Coimbatore-123.49(99.92),105.21(79.25)
01/04/2023,kolkata-NS(NS)Guwahati-173.02(127.74)173.02(127.74)Siliguri-Jalpaiguri-NS(NS)mjunctionNS(NS)Cochin144.50(139.52)Coonoor111.19(91.26)Coimbatore-119.12(97.40),107.84(80.78)
25/03/2023,kolkata-156.81(149.09)Guwahati-140.46(NS)140.46(NS)Siliguri-Jalpaiguri-NS(NS)mjunctionNS(NS)Cochin147.06(136.13)Coonoor113.94(91.58)Coimbatore-125.08(98.84),109.27(79.86)
18/03/2023,kolkata-NS(NS)Guwahati-NS(NS)NS(NS)Siliguri-Jalpaiguri-NS(NS)mjunctionNS(NS)Cochin150.17(134.95)Coonoor115.74(90.07)Coimbatore-124.6(99.4),106.86(81.34)
11/03/2023,kolkata-145.76(NS)Guwahati-136.56(NS)136.56(NS)Siliguri-Jalpaiguri-NS(NS)mjunctionNS(100.59)Cochin150.04(137.25)Coonoor115.93(93.45)Coimbatore-126.46(102.00),108.45(84.89)
04/03/2023,kolkata-153.2(NS)Guwahati-143.94(130.19)143.94(130.19)Siliguri-Jalpaiguri-NS(NS)mjunctionNS(NS)Cochin149.49(139.13)Coonoor117.81(98.57)Coimbatore-125.82(103.74),109.2(87.26)
25/02/2023,kolkata-NS(145.09)Guwahati-NS(NS)NS(NS)Siliguri-Jalpaiguri-NS(NS)mjunctionNS(109.58)Cochin151.46(140.95)Coonoor117.95(101.88)Coimbatore-128.45(107.92),112.18(88.82)
